id	order	HN-EW	HN-CW	HN-X20KW
BGEM-0288-S	226	69.89721086	43.95995769	4.83274037
BGEM-0289-N	227	46.5951086	42.94623173	3.737106278
BGEM-0290-N	228	55.79939988	43.2875971	4.834932458
BGEM-0291-N	229	51.57601026	43.30852396	4.467368985
BGEM-0292-S	230	44.37634177	43.31046826	4.723084075
BGEM-0293-N	231	55.74678458	43.49186022	4.491930749
BGEM-0294-N	232	51.61509908	43.38460237	4.939324282
BGEM-0295-S	233	63.50245992	43.50352104	4.553288382
BGEM-0296-S	234	68.73967429	44.04355572	4.855110046
BGEM-0297-N	235	64.1649126	44.09876197	4.944588753
BGEM-0298-S	236	50.28249365	43.21366089	4.451088646
BGEM-0299-N	237	53.35601509	43.51929425	5.127443416
BGEM-0300-S	238	69.13783525	44.1423362	4.709876119
BGEM-0301-S	239	61.80769347	43.48301586	4.292308821
BGEM-0302-S	240	72.88459831	44.47357369	5.3660533
BGEM-0303-N	241	57.67938482	44.18393732	4.959501871
BGEM-0304-N	242	53.39201503	44.36631584	5.097617181
BGEM-0305-S	243	51.40431823	43.91027206	4.512108338
BGEM-0306-S	244	60.92491794	43.40316324	4.594130486
BGEM-0307-S	245	72.13377823	44.02188409	5.134079151
BGEM-0308-S	246	56.28401447	43.98713914	4.961693959
BGEM-0309-S	247	52.02771378	43.90985039	4.879671811
BGEM-0310-S	248	61.70278253	43.55120767	4.913395297
BGEM-0311-N	249	55.2169351	43.91204728	5.254204917
BGEM-0312-S	250	52.05263682	43.85464414	4.462104514
BGEM-0313-S	251	68.70306673	44.0240371	5.224378682
BGEM-0314-S	252	61.91324373	44.55911603	5.591942155
BGEM-0315-S	253	64.17261266	43.82844925	5.216922123
BGEM-0316-S	254	71.7304386	44.56091713	4.836468649
BGEM-0318-S	255	53.96556451	44.21052801	4.402621013
BGEM-0319-S	256	59.37109407	45.07805477	4.637502618
BGEM-0320-N	257	57.37171274	43.48653749	5.36078883
BGEM-0321-S	258	64.61047005	44.53703353	4.831373149
BGEM-0322-S	259	59.11938245	43.67761716	5.436721639
BGEM-0323-S	260	49.37724465	43.33691574	4.601587044
BGEM-0324-N	261	57.2809359	44.32626323	5.200303843
BGEM-0325-N	262	68.93383978	44.61491305	5.35689158
BGEM-0326-N	263	64.79600821	44.36273952	4.719524766
BGEM-0327-N	264	61.03262979	44.1805589	4.898482179
BGEM-0328-S	265	56.56647554	44.34361377	4.946780841
BGEM-0185-N	266	98.26652174	54.1698918	5.434319818
BGEM-0101-S	267	64.75198856	43.32271985	5.10117649
BGEM-0161-S	268	48.06652632	41.78730087	4.819455323
BGEM-0091-N	269	61.80300477	45.10743237	4.391979725
BGEM-0098-S	270	53.6123467	43.36939184	5.143301941
BGEM-0171-S	271	61.84595768	43.84356402	4.699684855
BGEM-0147-S	272	74.17526109	45.93952568	4.905974239
BGEM-0194-N	273	49.33737331	41.68391119	5.035337741
BGEM-0092-S	274	60.12534806	44.03903289	6.037320321
BGEM-0106-N	275	70.51560052	47.14022951	5.111828529
BGEM-0238-N	276	56.34770667	44.37358288	5.077270622
BGEM-0053-S	277	62.26206597	44.70042933	5.388204239
BGEM-0245-S	278	43.82803498	43.49659219	4.730606397
BGEM-0084-S	279	84.15487836	47.09372663	4.742440722
BGEM-0058-N	280	56.71231725	42.99562355	4.881376973
BGEM-0109-N	281	54.46956368	43.42186731	4.279587792
BGEM-0029-S	282	52.15350747	42.67705204	4.3373792
BGEM-0105-N	283	71.13734368	45.02752517	4.151792655
BGEM-0168-S	284	52.89807664	43.59596661	4.767287009
BGEM-0183-N	285	70.2026833	46.37752338	4.73067091
BGEM-0163-S	286	46.99878484	41.37057613	4.822623658
BGEM-0076-S	287	62.87760324	44.22366834	4.933740081
BGEM-0180-S	288	55.06401687	43.77816892	5.508030868
BGEM-0181-N	289	56.29330598	42.17059379	5.221289088
BGEM-0121-N	290	66.04461459	45.0678822	5.220431632
BGEM-0251-S	291	68.21869808	44.60438606	4.916056883
BGEM-0189-S	292	69.89635479	44.45734351	5.849149612
BGEM-0249-N	293	45.83005859	41.6273945	4.705767302
