ID	Pop	FT_2020	FT_2021	Cold_Day_1	Cold_Day_2	Cold_Day_3	Cold_Day_4	Cold_Day_5	Room_Day_1	Room_Day_2	Room_Day_3	Room_Day_4	Room_Day_5	Cold_Day_1.Ro	Cold_Day_2.Ro	Cold_Day_3.Ro	Cold_Day_4.Ro	Cold_Day_5.Ro	cold_dec	room_dec
PI516176	Landrace	56.5	61.5	9.4	9.85	10.85	10.5	10.8	8.6	8	9.95	10.55	11.85	1.093023256	1.23125	1.090452261	0.995260664	0.911392405	-0.14893617	-0.377906977
PI358539PI358532	Hybrid	51	54	16.1	13.9	11.85	11.85	11.85	17.5	17.55	14.35	12.65	11.45	0.92	0.792022792	0.825783972	0.936758893	1.034934498	0.263975155	0.345714286
Ames22020	Inbred	43.5	49	15.7	14.15	12.8	12.4	12.35	14.4	11.3	9.2	11.9	15.4	1.090277778	1.252212389	1.391304348	1.042016807	0.801948052	0.213375796	-0.069444444
PI177589	Landrace	46.5	50	12.1	13.35	14.1	14.75	13.2	13.95	14.75	14.15	12.55	12.4	0.867383513	0.905084746	0.996466431	1.175298805	1.064516129	-0.090909091	0.111111111
Ames22035	Inbred	51.5	49.5	21.05	19.35	16.25	17.3	20.1	18.3	17.75	14.2	14.5	14.25	1.150273224	1.090140845	1.144366197	1.193103448	1.410526316	0.045130641	0.221311475
Ames22039	Inbred	44	44.5	15.9	16.05	12.7	14.5	13.15	17.4	17.3	15.8	16.1	14.2	0.913793103	0.927745665	0.803797468	0.900621118	0.926056338	0.172955975	0.183908046
PI219894	Landrace	43	43	17.7	18.85	16.3	18.15	14.4	16.9	17.25	13.9	15.45	15.8	1.047337278	1.092753623	1.172661871	1.174757282	0.911392405	0.186440678	0.065088757
A22063A22064	Hybrid	52	54.5	20.55	22.5	21.15	21.25	21.15	20.35	22.4	21.55	21.4	21.1	1.00982801	1.004464286	0.981438515	0.992990654	1.002369668	-0.02919708	-0.036855037
Ames22642	Landrace	46.5	40	15.95	13.45	11.55	15.25	17.7	16.6	17.3	14.2	15.9	15.35	0.960843373	0.777456647	0.813380282	0.959119497	1.153094463	-0.109717868	0.075301205
PI233322	Inbred	43	53	15.85	17.4	15.35	17.05	18.8	14.05	12.5	10.7	13.1	15	1.128113879	1.392	1.434579439	1.301526718	1.253333333	-0.186119874	-0.067615658
PI219886	Landrace	52	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22036A024	Hybrid	46.5	41	16.2	17.4	15.4	15.9	15.4	16.05	16.8	17.05	16.95	16.55	1.009345794	1.035714286	0.903225806	0.938053097	0.930513595	0.049382716	-0.031152648
PI612343	Landrace	59	57	14.1	13.85	14.35	13.85	13.65	11	10.1	11.55	12.6	12.25	1.281818182	1.371287129	1.242424242	1.099206349	1.114285714	0.031914894	-0.113636364
A22062A22059	Hybrid	51	53.5	16.45	16.65	16.45	16.35	15.05	15.55	14.85	15.15	14.25	14	1.057877814	1.121212121	1.085808581	1.147368421	1.075	0.085106383	0.099678457
NSL15405	Inbred	45.5	55	18.6	18.8	14.4	16.05	17.15	14.3	13.65	12.7	14.25	13.85	1.300699301	1.377289377	1.133858268	1.126315789	1.238267148	0.077956989	0.031468531
Ames22634	Landrace	52.5	50	10.45	9.65	8.95	10.5	11.4	12.85	11.55	11	11.5	12.75	0.813229572	0.835497835	0.813636364	0.913043478	0.894117647	-0.090909091	0.007782101
PI516067	Landrace	53	61.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22020A22065	Hybrid	55.5	54.5	18.5	16.8	14.1	12.8	12.3	18.85	17.95	15.35	12.85	11.6	0.981432361	0.935933148	0.918566775	0.996108949	1.060344828	0.335135135	0.384615385
Ames22050	Inbred	48	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22044	Inbred	42	48	17.85	19.55	16.95	15.85	15.4	17.05	18.75	14.7	15.6	15.9	1.046920821	1.042666667	1.153061224	1.016025641	0.968553459	0.137254902	0.06744868
PI231749PI183742	Hybrid	44.5	51.5	15.2	14.6	13.9	13.35	13.8	18	15.9	11.75	13.35	14.55	0.844444444	0.918238994	1.182978723	1	0.948453608	0.092105263	0.191666667
PI231301PI231746	Hybrid	45.5	49	16.9	15.05	13.75	18.5	13.9	16.9	14.3	15.25	16.35	11.85	1	1.052447552	0.901639344	1.131498471	1.172995781	0.177514793	0.298816568
NSL5616NSL103821	Hybrid	41	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI296723	Landrace	41	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames22013	Inbred	44	52.5	14.3	12.65	12.65	12.75	12	13.05	10.35	9	8.5	8.15	1.095785441	1.222222222	1.405555556	1.5	1.472392638	0.160839161	0.375478927
NSL34379	Landrace	59.5	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSL42806	Inbred	53	57	7.6	7.7	6.85	7.7	8.2	9.8	7.05	6	7.75	9.2	0.775510204	1.092198582	1.141666667	0.993548387	0.891304348	-0.078947368	0.06122449
PI231749	Landrace	46.5	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22023A22033	Hybrid	71.5	57	13.65	14.25	17.6	14.45	14.4	14.35	13.8	16.5	14.5	12.75	0.951219512	1.032608696	1.066666667	0.996551724	1.129411765	-0.054945055	0.111498258
Ames22040	Inbred	46.5	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI587135	Inbred	50	54.5	9.05	10.35	9.1	10.4	10.7	10.9	9.6	8.45	9.1	9.75	0.830275229	1.078125	1.076923077	1.142857143	1.097435897	-0.182320442	0.105504587
PI628519	Landrace	46.5	67.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI162573	Landrace	46	54.5	10.6	10.75	9.85	9.85	10.55	10.1	9.25	9.3	9.55	10.5	1.04950495	1.162162162	1.059139785	1.031413613	1.004761905	0.004716981	-0.03960396
PI567793PI567792	Hybrid	48.5	54.5	21	18.75	16.35	15.25	14.5	20.55	21.3	15.55	13.9	10.75	1.02189781	0.88028169	1.051446945	1.097122302	1.348837209	0.30952381	0.476885645
NSL42807	Inbred	50.5	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A909A039P768	Hybrid	46.5	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A22049A22640	Hybrid	45.5	51.5	21.2	19.75	19.45	21	19.65	18.85	19.05	18.95	18.9	17.95	1.124668435	1.036745407	1.026385224	1.111111111	1.094707521	0.073113208	0.047745358
PI608627PI578125	Hybrid	46	54.5	16.9	15.55	14.7	13.2	13.2	14.75	14.5	15	14.6	11.4	1.145762712	1.072413793	0.98	0.904109589	1.157894737	0.218934911	0.227118644
Ames22023	Inbred	51.5	58.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2F2	Hybrid	44	49	24.45	23	21.9	21.45	19.95	23.55	22.55	23.5	24.1	24.05	1.038216561	1.019955654	0.931914894	0.890041494	0.82952183	0.18404908	-0.021231423
Ames22640	Landrace	48.5	50	13.7	11.55	11.55	10.65	10.65	9.6	9.55	8.95	12.2	15.25	1.427083333	1.209424084	1.290502793	0.87295082	0.698360656	0.222627737	-0.588541667
Ames22047	Inbred	51.5	53.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI358533PI685985	Hybrid	49.5	48.5	12.4	12.2	11.6	11.75	11.05	10.7	9.7	9.85	9.65	9.45	1.158878505	1.257731959	1.177664975	1.21761658	1.169312169	0.108870968	0.11682243
