id	X20KW	CL	CW	CD
CML5	NA	NA	NA	NA
CML52	4.27705188689096	11.7122006679876	11.6282895262631	20.0484080054249
CML61	NA	NA	NA	NA
CML69	4.86939864472781	12.6511656185449	12.4024347194932	21.2152375862762
CML91	6.29110288315315	11.4989423031044	11.9132191310553	20.3392300282684
CML92	4.73595339260982	11.2217329077359	12.2260851649331	24.0272869014063
CMV3	5.45586488830214	10.5606773839373	9.65142392088425	23.0934688550402
CO106	4.13156992930022	10.746475674779	12.8536819189974	23.5344002239005
CO109	4.1482675536679	10.7002755042651	10.0037524039745	20.208689240087
CO125	4.13378093217903	9.03064015703982	10.3414170397032	20.9525722417266
CO255	4.12967316222543	11.5925596171678	10.8985445774835	21.9748062858387
D940Y	NA	NA	NA	NA
